"Mês","Município","Item transferência","Transferência","1º Decêndio","2º Decêndio","3º Decêndio","Valor mensal","Valor mensal real IPCA"
2018-01-01,"Amparo do São Francisco","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Aquidabã","FPM","FPM",437394.19,196965.08,442866.12,1077225.39,1400833.01
2018-01-01,"Aracaju","FPM","FPM",8141277.02,3666137.39,8243126.75,20050541.16,26073893.34
2018-01-01,"Arauá","FPM","FPM",291596.13,131310.06,295244.09,718150.28,933888.7
2018-01-01,"Areia Branca","FPM","FPM",437394.19,196965.08,442866.12,1077225.39,1400833.01
2018-01-01,"Barra dos Coqueiros","FPM","FPM",510293.23,229792.6,516677.14,1256762.97,1634305.2
2018-01-01,"Boquim","FPM","FPM",510293.23,229792.6,516677.14,1256762.97,1634305.2
2018-01-01,"Brejo Grande","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Campo do Brito","FPM","FPM",437394.19,196965.08,442866.12,1077225.39,1400833.01
2018-01-01,"Canhoba","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Canindé de São Francisco","FPM","FPM",510293.23,229792.6,516677.14,1256762.97,1634305.2
2018-01-01,"Capela","FPM","FPM",583192.26,262620.1,590488.16,1436300.52,1867777.35
2018-01-01,"Carira","FPM","FPM",437394.19,196965.08,442866.12,1077225.39,1400833.01
2018-01-01,"Carmópolis","FPM","FPM",364495.17,164137.56,369055.11,897687.84,1167360.86
2018-01-01,"Cedro de São João","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Cristinápolis","FPM","FPM",437394.19,196965.08,442866.12,1077225.39,1400833.01
2018-01-01,"Cumbe","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Divina Pastora","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Estância","FPM","FPM",874788.39,393930.15,885732.24,2154450.78,2801666.02
2018-01-01,"Feira Nova","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Frei Paulo","FPM","FPM",364495.17,164137.56,369055.11,897687.84,1167360.86
2018-01-01,"Gararu","FPM","FPM",291596.13,131310.06,295244.09,718150.28,933888.7
2018-01-01,"General Maynard","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Graccho Cardoso","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Ilha das Flores","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Indiaroba","FPM","FPM",437394.19,196965.08,442866.12,1077225.39,1400833.01
2018-01-01,"Itabaiana","FPM","FPM",1093485.47,492412.68,1107165.31,2693063.46,3502082.51
2018-01-01,"Itabaianinha","FPM","FPM",656091.29,295447.61,664299.18,1615838.08,2101249.51
2018-01-01,"Itabi","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Itaporanga D'Ajuda","FPM","FPM",583192.26,262620.1,590488.16,1436300.52,1867777.35
2018-01-01,"Japaratuba","FPM","FPM",437394.19,196965.08,442866.12,1077225.39,1400833.01
2018-01-01,"Japoatã","FPM","FPM",291596.13,131310.06,295244.09,718150.28,933888.7
2018-01-01,"Lagarto","FPM","FPM",1166384.51,525240.19,1180976.31,2872601.01,3735554.65
2018-01-01,"Laranjeiras","FPM","FPM",510293.23,229792.6,516677.14,1256762.97,1634305.2
2018-01-01,"Macambira","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Malhada dos Bois","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Malhador","FPM","FPM",291596.13,131310.06,295244.09,718150.28,933888.7
2018-01-01,"Maruim","FPM","FPM",437394.19,196965.08,442866.12,1077225.39,1400833.01
2018-01-01,"Moita Bonita","FPM","FPM",291596.13,131310.06,295244.09,718150.28,933888.7
2018-01-01,"Monte Alegre de Sergipe","FPM","FPM",364495.17,164137.56,369055.11,897687.84,1167360.86
2018-01-01,"Muribeca","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Neópolis","FPM","FPM",437394.19,196965.08,442866.12,1077225.39,1400833.01
2018-01-01,"Nossa Senhora Aparecida","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Nossa Senhora da Glória","FPM","FPM",583192.26,262620.1,590488.16,1436300.52,1867777.35
2018-01-01,"Nossa Senhora das Dores","FPM","FPM",510293.23,229792.6,516677.14,1256762.97,1634305.2
2018-01-01,"Nossa Senhora de Lourdes","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Nossa Senhora do Socorro","FPM","FPM",2350934.89,1058660.74,2380345.76,5789941.39,7529288.76
2018-01-01,"Pacatuba","FPM","FPM",364495.17,164137.56,369055.11,897687.84,1167360.86
2018-01-01,"Pedra Mole","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Pedrinhas","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Pinhão","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Pirambu","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Poço Redondo","FPM","FPM",583192.26,262620.1,590488.16,1436300.52,1867777.35
2018-01-01,"Poço Verde","FPM","FPM",437394.19,196965.08,442866.12,1077225.39,1400833.01
2018-01-01,"Porto da Folha","FPM","FPM",510293.23,229792.6,516677.14,1256762.97,1634305.2
2018-01-01,"Propriá","FPM","FPM",510293.23,229792.6,516677.14,1256762.97,1634305.2
2018-01-01,"Riachão do Dantas","FPM","FPM",437394.19,196965.08,442866.12,1077225.39,1400833.01
2018-01-01,"Riachuelo","FPM","FPM",291596.13,131310.06,295244.09,718150.28,933888.7
2018-01-01,"Ribeirópolis","FPM","FPM",437394.19,196965.08,442866.12,1077225.39,1400833.01
2018-01-01,"Rosário do Catete","FPM","FPM",291596.13,131310.06,295244.09,718150.28,933888.7
2018-01-01,"Salgado","FPM","FPM",437394.19,196965.08,442866.12,1077225.39,1400833.01
2018-01-01,"Santa Luzia do Itanhy","FPM","FPM",364495.17,164137.56,369055.11,897687.84,1167360.86
2018-01-01,"Santa Rosa de Lima","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Santana do São Francisco","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Santo Amaro das Brotas","FPM","FPM",291596.13,131310.06,295244.09,718150.28,933888.7
2018-01-01,"São Cristóvão","FPM","FPM",1020586.44,459585.17,1033354.28,2513525.89,3268610.33
2018-01-01,"São Domingos","FPM","FPM",291596.13,131310.06,295244.09,718150.28,933888.7
2018-01-01,"São Francisco","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"São Miguel do Aleixo","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Simão Dias","FPM","FPM",656091.29,295447.61,664299.18,1615838.08,2101249.51
2018-01-01,"Siriri","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Telha","FPM","FPM",218697.1,98482.54,221433.08,538612.72,700416.54
2018-01-01,"Tobias Barreto","FPM","FPM",801889.36,361102.63,811921.22,1974913.21,2568193.85
2018-01-01,"Tomar do Geru","FPM","FPM",291596.13,131310.06,295244.09,718150.28,933888.7
2018-01-01,"Umbaúba","FPM","FPM",510293.26,229792.44,516677,1256762.7,1634304.85
2018-02-01,"Amparo do São Francisco","FPM","FPM",510085.11,42289.17,151760.98,704135.26,912742.36
2018-02-01,"Aquidabã","FPM","FPM",1020170.21,84578.34,303521.93,1408270.48,1825484.67
2018-02-01,"Aracaju","FPM","FPM",18988565.53,1574267.94,5649494.62,26212328.09,33977991.93
2018-02-01,"Arauá","FPM","FPM",680113.47,56385.56,202347.96,938846.99,1216989.78
2018-02-01,"Areia Branca","FPM","FPM",1020170.21,84578.34,303521.93,1408270.48,1825484.67
2018-02-01,"Barra dos Coqueiros","FPM","FPM",1190198.57,98674.73,354108.93,1642982.23,2129732.12
